"filename", "language", "TypeScript", "TypeScript JSX", "JavaScript", "JSON", "CSS", "Markdown", "comment", "blank", "total"
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 3, 1, 4
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\layout\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\layout\Header.tsx", "TypeScript JSX", 0, 28, 0, 0, 0, 0, 0, 4, 32
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\layout\Navbar.tsx", "TypeScript JSX", 0, 30, 0, 0, 0, 0, 0, 4, 34
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\layout\Sidebar.tsx", "TypeScript JSX", 0, 33, 0, 0, 0, 0, 0, 6, 39
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\pages\CartComponent.tsx", "TypeScript JSX", 0, 28, 0, 0, 0, 0, 0, 7, 35
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\pages\ProductList.tsx", "TypeScript JSX", 0, 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\pages\UserAuth.tsx", "TypeScript JSX", 0, 93, 0, 0, 0, 0, 0, 12, 105
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\pages\UserProfile.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\ui\NavItems.tsx", "TypeScript JSX", 0, 42, 0, 0, 0, 0, 0, 9, 51
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\ui\ProductInfoCard.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 0, 0, 4, 22
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\entities\entities.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 30
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\page.tsx", "TypeScript JSX", 0, 72, 0, 0, 0, 0, 0, 9, 81
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\product\[id]\IdImages.tsx", "TypeScript JSX", 0, 58, 0, 0, 0, 0, 3, 10, 71
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\product\[id]\SimilarProducts.tsx", "TypeScript JSX", 0, 35, 0, 0, 0, 0, 0, 5, 40
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\product\[id]\page.tsx", "TypeScript JSX", 0, 94, 0, 0, 0, 0, 0, 11, 105
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\store\products.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\store\storeProduct.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\store\useToggle.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 7, 24
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\globals.css", "CSS", 0, 0, 0, 0, 11, 0, 0, 4, 15
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\layout.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 0, 0, -1, 3
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\middleware.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 2, 2, 12
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\page.tsx", "TypeScript JSX", 0, -5, 0, 0, 0, 0, 1, 1, -3
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\userData\TokenValidation.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\userData\UserData.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\jest.config.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 2, 4, 19
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\next.config.mjs", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\package-lock.json", "JSON", 0, 0, 0, 5165, 0, 0, 0, 0, 5165
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\package.json", "JSON", 0, 0, 0, 19, 0, 0, 0, 0, 19
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\server\api\index.ts", "TypeScript", -30, 0, 0, 0, 0, 0, 0, -10, -40
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\server\config\config.ts", "TypeScript", -1, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\server\config\db.ts", "TypeScript", -21, 0, 0, 0, 0, 0, -1, -5, -27
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\server\controllers\userController.ts", "TypeScript", -66, 0, 0, 0, 0, 0, -1, -39, -106
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\server\express.d.ts", "TypeScript", -11, 0, 0, 0, 0, 0, 0, -1, -12
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\server\middleware\AuthenticatedJWT.ts", "TypeScript", -8, 0, 0, 0, 0, 0, 0, -9, -17
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\server\middleware\authMiddleware.ts", "TypeScript", -25, 0, 0, 0, 0, 0, 0, -18, -43
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\server\models\product.ts", "TypeScript", -65, 0, 0, 0, 0, 0, 0, -5, -70
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\server\models\user.ts", "TypeScript", -27, 0, 0, 0, 0, 0, 0, -6, -33
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\server\package-lock.json", "JSON", 0, 0, 0, -2326, 0, 0, 0, -1, -2327
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\server\package.json", "JSON", 0, 0, 0, -37, 0, 0, 0, -1, -38
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\server\routes\protectedRoutes.ts", "TypeScript", -145, 0, 0, 0, 0, 0, 0, -36, -181
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\server\routes\userRoutes.ts", "TypeScript", -9, 0, 0, 0, 0, 0, 0, -2, -11
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\server\routes\verificationRoutes.ts", "TypeScript", -24, 0, 0, 0, 0, 0, 0, -17, -41
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\server\services\sendMail.ts", "TypeScript", -40, 0, 0, 0, 0, 0, 0, -6, -46
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\server\vercel.json", "JSON", 0, 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\tailwind.config.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\tailwind.config.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 3
"Total", "-", -197, 1498, 8, 2820, -202, -47, 33, -74, 3839
