"filename", "language", "JavaScript", "TypeScript", "JSON with Comments", "JSON", "Markdown", "XML", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\Schedule.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 23, 0, 2, 7, 32
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\newProduct.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 336, 0, 2, 44, 382
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Home\IconHome.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 1, 3, 19
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Home\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 0, 9, 23
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Marketing\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 0, 2, 16
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\NewProduct\Prototype\Input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 16, 0, 0, 2, 18
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\NewProduct\Prototype\TextArea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 0, 3, 14
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\NewProduct\Prototype\Weight.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 16, 0, 0, 2, 18
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\NewProduct\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 2, 15
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Orders\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 0, 2, 16
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Products\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 2, 15
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Responsive\AddProducts.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 49, 0, 13, 62
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Settings\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 0, 2, 16
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\axios\axios.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 2, 5, 26
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\hooks\ReusableHooks.ts", "TypeScript", 0, 54, 0, 0, 0, 0, 0, 0, 0, 12, 66
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\hooks\UseHooks.ts", "TypeScript", 0, 79, 0, 0, 0, 0, 0, 0, 5, 8, 92
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 0, 4, 15
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\types\types.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 67, 0, 4, 71
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 0, 4, 23
