"filename", "language", "JavaScript", "TypeScript", "TypeScript JSX", "JSON with Comments", "XML", "JSON", "Markdown", "CSS", "comment", "blank", "total"
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Orders\page.tsx", "TypeScript JSX", 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Products\page.tsx", "TypeScript JSX", 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Responsive\AddProducts.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 49, 0, 13, 62
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Settings\page.tsx", "TypeScript JSX", 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\UseAuth\useAuth.tsx", "TypeScript JSX", 0, 0, 35, 0, 0, 0, 0, 0, 0, 5, 40
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\axios\axios.ts", "TypeScript", 0, 79, 0, 0, 0, 0, 0, 0, 9, 11, 99
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\hooks\DeleteProduct.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\hooks\EditProduct.ts", "TypeScript", 0, 79, 0, 0, 0, 0, 0, 0, 2, 7, 88
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\hooks\ReusableHooks.ts", "TypeScript", 0, 81, 0, 0, 0, 0, 0, 0, 0, 13, 94
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\hooks\UseHooks.ts", "TypeScript", 0, 79, 0, 0, 0, 0, 0, 0, 5, 7, 91
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\page.tsx", "TypeScript JSX", 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\types\types.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 25
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\AllProducts\page.tsx", "TypeScript JSX", 0, 0, 103, 0, 0, 0, 0, 0, 1, 11, 115
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\Interface\CartItem.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 3, 30
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\IsAuth.tsx", "TypeScript JSX", 0, 0, 30, 0, 0, 0, 0, 0, 0, 6, 36
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\Popular\page.tsx", "TypeScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\SigningOut\page.tsx", "TypeScript JSX", 0, 0, 31, 0, 0, 0, 0, 0, 0, 7, 38
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\animations\Later.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\axios\dataStore.ts", "TypeScript", 0, 62, 0, 0, 0, 0, 0, 0, 0, 10, 72
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\Container\BestCategory.tsx", "TypeScript JSX", 0, 0, 60, 0, 0, 0, 0, 0, 0, 8, 68
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\Container\MainShopProduct.tsx", "TypeScript JSX", 0, 0, 81, 0, 0, 0, 0, 0, 0, 6, 87
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\Container\ProductCard.tsx", "TypeScript JSX", 0, 0, 34, 0, 0, 0, 0, 0, 0, 3, 37
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\Container\TrendingProduct.tsx", "TypeScript JSX", 0, 0, 29, 0, 0, 0, 0, 0, 1, 5, 35
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\Container\UserCart.tsx", "TypeScript JSX", 0, 0, 173, 0, 0, 0, 0, 0, 0, 18, 191
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\common\Button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\common\Input.tsx", "TypeScript JSX", 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 4
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\layout\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\layout\Header.tsx", "TypeScript JSX", 0, 0, 37, 0, 0, 0, 0, 0, 0, 4, 41
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\layout\Navbar.tsx", "TypeScript JSX", 0, 0, 52, 0, 0, 0, 0, 0, 0, 5, 57
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\layout\Sidebar.tsx", "TypeScript JSX", 0, 0, 33, 0, 0, 0, 0, 0, 0, 6, 39
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\pages\CartComponent.tsx", "TypeScript JSX", 0, 0, 42, 0, 0, 0, 0, 0, 0, 8, 50
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\pages\ProductList.tsx", "TypeScript JSX", 0, 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\pages\UserAuth.tsx", "TypeScript JSX", 0, 0, 82, 0, 0, 0, 0, 0, 0, 10, 92
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\pages\UserProfile.tsx", "TypeScript JSX", 0, 0, 27, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\ui\AllproductCard.tsx", "TypeScript JSX", 0, 0, 43, 0, 0, 0, 0, 0, 0, 5, 48
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\ui\NavItems.tsx", "TypeScript JSX", 0, 0, 32, 0, 0, 0, 0, 0, 0, 6, 38
